"","distance","brand","golfer"
"1",202.4,"A","1"
"2",242,"A","2"
"3",220.4,"A","3"
"4",230,"A","John 4"
"5",191.6,"A","5"
"6",247.7,"A","Jeff B. 6"
"7",214.8,"A","7"
"8",245.4,"A","8"
"9",224,"A","9"
"10",252.2,"A","10"
"11",203.2,"B","1"
"12",248.7,"B","2"
"13",227.3,"B","3"
"14",243.1,"B","John 4"
"15",211.4,"B","5"
"16",253,"B","Jeff B. 6"
"17",214.8,"B","7"
"18",243.6,"B","8"
"19",231.5,"B","9"
"20",255.2,"B","10"
"21",223.7,"C","1"
"22",259.8,"C","2"
"23",240,"C","3"
"24",247.7,"C","John 4"
"25",218.7,"C","5"
"26",268.1,"C","Jeff B. 6"
"27",233.9,"C","7"
"28",257.8,"C","8"
"29",238.2,"C","9"
"30",265.4,"C","10"
"31",203.6,"D","1"
"32",240.7,"D","2"
"33",207.4,"D","3"
"34",226.9,"D","John 4"
"35",200.1,"D","5"
"36",244,"D","Jeff B. 6"
"37",195.8,"D","7"
"38",227.9,"D","8"
"39",215.7,"D","9"
"40",245.2,"D","10"
