marital_status,labor_status
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
employed,married
